company,aws_service,datetime,gross_cost
cyberdyne,ec2,2024-01-01 00:00:00,224.86
cyberdyne,s3,2024-01-01 00:00:00,15.02
ingen,ec2,2024-01-01 00:00:00,111.43
tyrell,s3,2024-01-01 00:00:00,1.51
weyland-yutani,ec2,2024-01-01 00:00:00,1662.07
cyberdyne,infinidash,2024-01-01 06:00:00,46.74
ingen,s3,2024-01-01 06:00:00,20.86
weyland-yutani,ec2,2024-01-01 06:00:00,969.62
weyland-yutani,sagemaker,2024-01-01 08:00:00,892.11
cyberdyne,infinidash,2024-01-01 10:00:00,370.41
cyberdyne,ec2,2024-01-01 10:00:00,45.74
cyberdyne,sagemaker,2024-01-01 14:00:00,143.1
weyland-yutani,ec2,2024-01-01 14:00:00,45.0
cyberdyne,ec2,2024-01-01 16:00:00,156.4
ingen,sagemaker,2024-01-01 16:00:00,727.51
weyland-yutani,cloudwatch,2024-01-01 16:00:00,81.22
cyberdyne,infinidash,2024-01-01 18:00:00,510.03
ingen,cloudwatch,2024-01-01 18:00:00,26.8
weyland-yutani,sagemaker,2024-01-01 22:00:00,2902.09
weyland-yutani,ec2,2024-01-01 22:00:00,162.28
weyland-yutani,cloudwatch,2024-01-01 22:00:00,108.14
cyberdyne,ec2,2024-01-02 00:00:00,105.54
tyrell,cloudwatch,2024-01-02 00:00:00,7.35
weyland-yutani,infinidash,2024-01-02 01:00:00,902.17
weyland-yutani,cloudwatch,2024-01-02 01:00:00,79.61
ingen,sagemaker,2024-01-02 02:00:00,478.1
cyberdyne,infinidash,2024-01-02 06:00:00,33.39
weyland-yutani,cloudwatch,2024-01-02 09:00:00,71.56
weyland-yutani,ec2,2024-01-02 09:00:00,2250.0
ingen,sagemaker,2024-01-02 10:00:00,1939.21
ingen,ec2,2024-01-02 10:00:00,252.61
cyberdyne,s3,2024-01-02 11:00:00,6.6
cyberdyne,ec2,2024-01-02 11:00:00,116.48
cyberdyne,cloudwatch,2024-01-02 11:00:00,5.2
tyrell,s3,2024-01-02 15:00:00,2.9
cyberdyne,ec2,2024-01-02 18:00:00,35.14
cyberdyne,infinidash,2024-01-02 18:00:00,165.57
ingen,s3,2024-01-02 18:00:00,6.91
ingen,ec2,2024-01-02 18:00:00,221.93
tyrell,s3,2024-01-02 18:00:00,4.56
weyland-yutani,sagemaker,2024-01-02 18:00:00,231.87
weyland-yutani,ec2,2024-01-02 19:00:00,222.55
cyberdyne,s3,2024-01-02 21:00:00,100.0
cyberdyne,cloudwatch,2024-01-02 21:00:00,50.47
weyland-yutani,ec2,2024-01-02 22:00:00,1981.66
weyland-yutani,cloudwatch,2024-01-02 22:00:00,372.15
weyland-yutani,sagemaker,2024-01-03 00:00:00,225.0
ingen,infinidash,2024-01-03 02:00:00,46.41
ingen,ec2,2024-01-03 02:00:00,64.84
tyrell,s3,2024-01-03 02:00:00,3.59
weyland-yutani,infinidash,2024-01-03 02:00:00,801.23
weyland-yutani,cloudwatch,2024-01-03 03:00:00,16.92
cyberdyne,infinidash,2024-01-03 08:00:00,47.94
weyland-yutani,infinidash,2024-01-03 08:00:00,539.94
cyberdyne,s3,2024-01-03 13:00:00,16.27
weyland-yutani,infinidash,2024-01-03 14:00:00,942.56
tyrell,sagemaker,2024-01-03 16:00:00,38.68
weyland-yutani,cloudwatch,2024-01-03 17:00:00,45.81
weyland-yutani,ec2,2024-01-03 17:00:00,364.65
cyberdyne,infinidash,2024-01-03 19:00:00,25.0
weyland-yutani,sagemaker,2024-01-03 19:00:00,465.57
weyland-yutani,cloudwatch,2024-01-03 19:00:00,16.3
ingen,infinidash,2024-01-03 23:00:00,71.64
ingen,ec2,2024-01-03 23:00:00,113.32
cyberdyne,s3,2024-01-04 01:00:00,5.62
weyland-yutani,ec2,2024-01-04 01:00:00,116.49
weyland-yutani,sagemaker,2024-01-04 05:00:00,2275.1
weyland-yutani,infinidash,2024-01-04 05:00:00,274.2
weyland-yutani,cloudwatch,2024-01-04 05:00:00,49.76
weyland-yutani,ec2,2024-01-04 05:00:00,144.0
cyberdyne,ec2,2024-01-04 07:00:00,86.55
cyberdyne,s3,2024-01-04 07:00:00,3.82
ingen,ec2,2024-01-04 08:00:00,24.8
weyland-yutani,sagemaker,2024-01-04 09:00:00,342.91
cyberdyne,ec2,2024-01-04 12:00:00,500.0
weyland-yutani,cloudwatch,2024-01-04 15:00:00,130.54
weyland-yutani,ec2,2024-01-04 15:00:00,616.38
weyland-yutani,sagemaker,2024-01-04 15:00:00,1114.49
ingen,s3,2024-01-04 16:00:00,16.73
cyberdyne,infinidash,2024-01-04 17:00:00,170.17
cyberdyne,cloudwatch,2024-01-04 17:00:00,28.08
weyland-yutani,cloudwatch,2024-01-04 18:00:00,17.53
weyland-yutani,infinidash,2024-01-04 18:00:00,249.59
ingen,s3,2024-01-04 20:00:00,156.0
cyberdyne,ec2,2024-01-04 21:00:00,24.7
weyland-yutani,cloudwatch,2024-01-05 00:00:00,450.0
weyland-yutani,sagemaker,2024-01-05 00:00:00,405.3
tyrell,sagemaker,2024-01-05 01:00:00,14.29
tyrell,sagemaker,2024-01-05 03:00:00,67.16
cyberdyne,sagemaker,2024-01-05 05:00:00,463.69
cyberdyne,infinidash,2024-01-05 05:00:00,77.36
tyrell,s3,2024-01-05 05:00:00,19.94
weyland-yutani,cloudwatch,2024-01-05 06:00:00,373.16
weyland-yutani,infinidash,2024-01-05 06:00:00,186.54
cyberdyne,ec2,2024-01-05 12:00:00,43.76
cyberdyne,cloudwatch,2024-01-05 12:00:00,19.12
weyland-yutani,cloudwatch,2024-01-05 12:00:00,29.47
weyland-yutani,ec2,2024-01-05 12:00:00,184.21
cyberdyne,s3,2024-01-05 14:00:00,41.49
cyberdyne,ec2,2024-01-05 15:00:00,313.38
cyberdyne,cloudwatch,2024-01-05 15:00:00,37.49
weyland-yutani,sagemaker,2024-01-05 15:00:00,798.39
cyberdyne,cloudwatch,2024-01-05 17:00:00,100.0
cyberdyne,ec2,2024-01-05 17:00:00,210.24
tyrell,sagemaker,2024-01-05 18:00:00,77.02
cyberdyne,ec2,2024-01-05 20:00:00,149.56
cyberdyne,infinidash,2024-01-05 20:00:00,125.38
ingen,ec2,2024-01-05 20:00:00,69.87
ingen,sagemaker,2024-01-05 20:00:00,1765.45
cyberdyne,s3,2024-01-05 23:00:00,28.41
tyrell,infinidash,2024-01-05 23:00:00,21.85
weyland-yutani,infinidash,2024-01-05 23:00:00,1288.97
cyberdyne,infinidash,2024-01-06 01:00:00,167.28
weyland-yutani,ec2,2024-01-06 05:00:00,318.81
weyland-yutani,infinidash,2024-01-06 05:00:00,1200.14
ingen,s3,2024-01-06 06:00:00,17.66
cyberdyne,infinidash,2024-01-06 09:00:00,71.31
cyberdyne,cloudwatch,2024-01-06 09:00:00,5.72
cyberdyne,ec2,2024-01-06 15:00:00,18.9
ingen,ec2,2024-01-06 15:00:00,780.0
ingen,infinidash,2024-01-06 15:00:00,100.18
cyberdyne,ec2,2024-01-06 16:00:00,39.75
cyberdyne,infinidash,2024-01-06 17:00:00,233.94
cyberdyne,ec2,2024-01-06 17:00:00,35.05
cyberdyne,ec2,2024-01-06 21:00:00,39.33
cyberdyne,cloudwatch,2024-01-06 21:00:00,5.6
weyland-yutani,ec2,2024-01-06 21:00:00,515.62
weyland-yutani,cloudwatch,2024-01-06 22:00:00,78.95
weyland-yutani,sagemaker,2024-01-06 22:00:00,263.67
ingen,cloudwatch,2024-01-06 23:00:00,54.25
ingen,s3,2024-01-06 23:00:00,42.83
tyrell,s3,2024-01-06 23:00:00,1.42
weyland-yutani,sagemaker,2024-01-07 01:00:00,1737.74
ingen,cloudwatch,2024-01-07 06:00:00,126.81
cyberdyne,s3,2024-01-07 07:00:00,23.53
cyberdyne,cloudwatch,2024-01-07 07:00:00,8.3
weyland-yutani,cloudwatch,2024-01-07 07:00:00,169.82
weyland-yutani,sagemaker,2024-01-07 07:00:00,3815.58
weyland-yutani,sagemaker,2024-01-07 10:00:00,653.37
weyland-yutani,ec2,2024-01-07 10:00:00,636.88
ingen,infinidash,2024-01-07 11:00:00,403.71
ingen,cloudwatch,2024-01-07 11:00:00,28.37
weyland-yutani,s3,2024-01-07 16:00:00,22.11
weyland-yutani,sagemaker,2024-01-07 16:00:00,1052.62
weyland-yutani,ec2,2024-01-07 16:00:00,385.21
cyberdyne,infinidash,2024-01-07 18:00:00,78.75
cyberdyne,cloudwatch,2024-01-07 18:00:00,16.8
tyrell,sagemaker,2024-01-07 19:00:00,63.42
weyland-yutani,ec2,2024-01-07 19:00:00,88.89
weyland-yutani,cloudwatch,2024-01-07 21:00:00,24.48
cyberdyne,ec2,2024-01-07 22:00:00,500.0
cyberdyne,cloudwatch,2024-01-08 01:00:00,7.33
weyland-yutani,sagemaker,2024-01-08 01:00:00,230.85
weyland-yutani,infinidash,2024-01-08 01:00:00,375.51
cyberdyne,infinidash,2024-01-08 03:00:00,40.36
weyland-yutani,infinidash,2024-01-08 04:00:00,2431.03
weyland-yutani,sagemaker,2024-01-08 04:00:00,630.85
cyberdyne,s3,2024-01-08 05:00:00,12.22
ingen,s3,2024-01-08 05:00:00,3.91
ingen,ec2,2024-01-08 05:00:00,71.63
weyland-yutani,infinidash,2024-01-08 07:00:00,352.18
weyland-yutani,cloudwatch,2024-01-08 07:00:00,81.77
tyrell,cloudwatch,2024-01-08 08:00:00,5.37
tyrell,cloudwatch,2024-01-08 09:00:00,9.47
weyland-yutani,infinidash,2024-01-08 09:00:00,775.23
weyland-yutani,infinidash,2024-01-08 10:00:00,290.39
tyrell,cloudwatch,2024-01-08 11:00:00,11.38
cyberdyne,cloudwatch,2024-01-08 12:00:00,19.46
weyland-yutani,infinidash,2024-01-08 15:00:00,112.5
weyland-yutani,infinidash,2024-01-08 18:00:00,112.5
weyland-yutani,ec2,2024-01-08 18:00:00,95.04
weyland-yutani,infinidash,2024-01-08 21:00:00,430.58
cyberdyne,cloudwatch,2024-01-08 22:00:00,17.15
cyberdyne,infinidash,2024-01-08 22:00:00,213.04
weyland-yutani,sagemaker,2024-01-08 23:00:00,225.0
weyland-yutani,cloudwatch,2024-01-08 23:00:00,193.39
weyland-yutani,ec2,2024-01-08 23:00:00,1484.72
cyberdyne,cloudwatch,2024-01-09 02:00:00,36.34
cyberdyne,ec2,2024-01-09 02:00:00,128.6
ingen,infinidash,2024-01-09 03:00:00,327.83
weyland-yutani,cloudwatch,2024-01-09 03:00:00,137.42
weyland-yutani,ec2,2024-01-09 03:00:00,56.44
cyberdyne,cloudwatch,2024-01-09 06:00:00,100.0
cyberdyne,infinidash,2024-01-09 06:00:00,230.33
weyland-yutani,cloudwatch,2024-01-09 08:00:00,49.3
weyland-yutani,sagemaker,2024-01-09 08:00:00,439.44
cyberdyne,s3,2024-01-09 10:00:00,8.16
